Date : 2024-01-19 23:08:40
Directory : d:\php course\xammp\htdocs\ihub
Total : 543 files,  78720 codes, 2694 comments, 16566 blanks, all 97980 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| admin\js                                                                                                     |          2 |         63 |         22 |         11 |         96 |
| assets                                                                                                       |        152 |     22,217 |        680 |      4,408 |     27,305 |
| assets\css                                                                                                   |          5 |          7 |         12 |          3 |         22 |
| assets\img                                                                                                   |         65 |        269 |          2 |         61 |        332 |
| assets\img\icons                                                                                             |         65 |        269 |          2 |         61 |        332 |
| assets\js                                                                                                    |         10 |        703 |         47 |          4 |        754 |
| assets\plugins                                                                                               |         72 |     21,238 |        619 |      4,340 |     26,197 |
| assets\plugins\alertify                                                                                      |          3 |          4 |          6 |          0 |         10 |
| assets\plugins\apexchart                                                                                     |          2 |         24 |         11 |          1 |         36 |
| assets\plugins\chartjs                                                                                       |          2 |          3 |         11 |          1 |         15 |
| assets\plugins\clipboard                                                                                     |          1 |          1 |          6 |          0 |          7 |
| assets\plugins\countup                                                                                       |          3 |         18 |         21 |          0 |         39 |
| assets\plugins\dragula                                                                                       |          3 |          3 |          0 |          0 |          3 |
| assets\plugins\dragula\css                                                                                   |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\dragula\js                                                                                    |          2 |          2 |          0 |          0 |          2 |
| assets\plugins\fileupload                                                                                    |          1 |          1 |          0 |          1 |          2 |
| assets\plugins\flot                                                                                          |          4 |      2,430 |        446 |        582 |      3,458 |
| assets\plugins\fontawesome                                                                                   |          5 |      8,956 |         20 |          3 |      8,979 |
| assets\plugins\fontawesome\css                                                                               |          2 |          2 |          8 |          0 |         10 |
| assets\plugins\fontawesome\webfonts                                                                          |          3 |      8,954 |         12 |          3 |      8,969 |
| assets\plugins\fullcalendar                                                                                  |          3 |         13 |          9 |          0 |         22 |
| assets\plugins\icons                                                                                         |          7 |          7 |         21 |          0 |         28 |
| assets\plugins\icons\feather                                                                                 |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\icons\flags                                                                                   |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\icons\ionic                                                                                   |          1 |          1 |          3 |          0 |          4 |
| assets\plugins\icons\pe7                                                                                     |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\icons\themify                                                                                 |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\icons\typicons                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\icons\weather                                                                                 |          1 |          1 |         18 |          0 |         19 |
| assets\plugins\ion-rangeslider                                                                               |          3 |          3 |          1 |          0 |          4 |
| assets\plugins\ion-rangeslider\css                                                                           |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\ion-rangeslider\js                                                                            |          2 |          2 |          1 |          0 |          3 |
| assets\plugins\lightbox                                                                                      |          3 |          3 |          0 |          0 |          3 |
| assets\plugins\material                                                                                      |          1 |      9,614 |          7 |      3,745 |     13,366 |
| assets\plugins\moment                                                                                        |          1 |          1 |          1 |          0 |          2 |
| assets\plugins\morris                                                                                        |          3 |          9 |         13 |          0 |         22 |
| assets\plugins\owlcarousel                                                                                   |          3 |          4 |         15 |          0 |         19 |
| assets\plugins\peity                                                                                         |          2 |         22 |          6 |          1 |         29 |
| assets\plugins\raty                                                                                          |          2 |         74 |          9 |          0 |         83 |
| assets\plugins\scrollbar                                                                                     |          3 |          3 |          0 |          0 |          3 |
| assets\plugins\select2                                                                                       |          3 |          5 |          1 |          1 |          7 |
| assets\plugins\select2\css                                                                                   |          1 |          1 |          0 |          1 |          2 |
| assets\plugins\select2\js                                                                                    |          2 |          4 |          1 |          0 |          5 |
| assets\plugins\simpleline                                                                                    |          1 |          1 |          0 |          0 |          1 |
| assets\plugins\stickynote                                                                                    |          2 |         15 |          0 |          0 |         15 |
| assets\plugins\summernote                                                                                    |          2 |          2 |          2 |          0 |          4 |
| assets\plugins\sweetalert                                                                                    |          2 |          3 |          1 |          2 |          6 |
| assets\plugins\toastr                                                                                        |          3 |          3 |          1 |          2 |          6 |
| assets\plugins\twitter-bootstrap-wizard                                                                      |          4 |         16 |         11 |          1 |         28 |
| auth                                                                                                         |        152 |     22,349 |        679 |      4,436 |     27,464 |
| auth (Files)                                                                                                 |          3 |        144 |          1 |         30 |        175 |
| auth\assets                                                                                                  |        149 |     22,205 |        678 |      4,406 |     27,289 |
| auth\assets\css                                                                                              |          5 |          7 |         12 |          1 |         20 |
| auth\assets\img                                                                                              |         62 |        257 |          0 |         61 |        318 |
| auth\assets\img\icons                                                                                        |         62 |        257 |          0 |         61 |        318 |
| auth\assets\js                                                                                               |         10 |        703 |         47 |          4 |        754 |
| auth\assets\plugins                                                                                          |         72 |     21,238 |        619 |      4,340 |     26,197 |
| auth\assets\plugins\alertify                                                                                 |          3 |          4 |          6 |          0 |         10 |
| auth\assets\plugins\apexchart                                                                                |          2 |         24 |         11 |          1 |         36 |
| auth\assets\plugins\chartjs                                                                                  |          2 |          3 |         11 |          1 |         15 |
| auth\assets\plugins\clipboard                                                                                |          1 |          1 |          6 |          0 |          7 |
| auth\assets\plugins\countup                                                                                  |          3 |         18 |         21 |          0 |         39 |
| auth\assets\plugins\dragula                                                                                  |          3 |          3 |          0 |          0 |          3 |
| auth\assets\plugins\dragula\css                                                                              |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\dragula\js                                                                               |          2 |          2 |          0 |          0 |          2 |
| auth\assets\plugins\fileupload                                                                               |          1 |          1 |          0 |          1 |          2 |
| auth\assets\plugins\flot                                                                                     |          4 |      2,430 |        446 |        582 |      3,458 |
| auth\assets\plugins\fontawesome                                                                              |          5 |      8,956 |         20 |          3 |      8,979 |
| auth\assets\plugins\fontawesome\css                                                                          |          2 |          2 |          8 |          0 |         10 |
| auth\assets\plugins\fontawesome\webfonts                                                                     |          3 |      8,954 |         12 |          3 |      8,969 |
| auth\assets\plugins\fullcalendar                                                                             |          3 |         13 |          9 |          0 |         22 |
| auth\assets\plugins\icons                                                                                    |          7 |          7 |         21 |          0 |         28 |
| auth\assets\plugins\icons\feather                                                                            |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\icons\flags                                                                              |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\icons\ionic                                                                              |          1 |          1 |          3 |          0 |          4 |
| auth\assets\plugins\icons\pe7                                                                                |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\icons\themify                                                                            |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\icons\typicons                                                                           |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\icons\weather                                                                            |          1 |          1 |         18 |          0 |         19 |
| auth\assets\plugins\ion-rangeslider                                                                          |          3 |          3 |          1 |          0 |          4 |
| auth\assets\plugins\ion-rangeslider\css                                                                      |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\ion-rangeslider\js                                                                       |          2 |          2 |          1 |          0 |          3 |
| auth\assets\plugins\lightbox                                                                                 |          3 |          3 |          0 |          0 |          3 |
| auth\assets\plugins\material                                                                                 |          1 |      9,614 |          7 |      3,745 |     13,366 |
| auth\assets\plugins\moment                                                                                   |          1 |          1 |          1 |          0 |          2 |
| auth\assets\plugins\morris                                                                                   |          3 |          9 |         13 |          0 |         22 |
| auth\assets\plugins\owlcarousel                                                                              |          3 |          4 |         15 |          0 |         19 |
| auth\assets\plugins\peity                                                                                    |          2 |         22 |          6 |          1 |         29 |
| auth\assets\plugins\raty                                                                                     |          2 |         74 |          9 |          0 |         83 |
| auth\assets\plugins\scrollbar                                                                                |          3 |          3 |          0 |          0 |          3 |
| auth\assets\plugins\select2                                                                                  |          3 |          5 |          1 |          1 |          7 |
| auth\assets\plugins\select2\css                                                                              |          1 |          1 |          0 |          1 |          2 |
| auth\assets\plugins\select2\js                                                                               |          2 |          4 |          1 |          0 |          5 |
| auth\assets\plugins\simpleline                                                                               |          1 |          1 |          0 |          0 |          1 |
| auth\assets\plugins\stickynote                                                                               |          2 |         15 |          0 |          0 |         15 |
| auth\assets\plugins\summernote                                                                               |          2 |          2 |          2 |          0 |          4 |
| auth\assets\plugins\sweetalert                                                                               |          2 |          3 |          1 |          2 |          6 |
| auth\assets\plugins\toastr                                                                                   |          3 |          3 |          1 |          2 |          6 |
| auth\assets\plugins\twitter-bootstrap-wizard                                                                 |          4 |         16 |         11 |          1 |         28 |
| css                                                                                                          |          7 |      4,474 |        137 |      1,465 |      6,076 |
| font-awesome                                                                                                 |          2 |          6 |         10 |          2 |         18 |
| font-awesome\css                                                                                             |          2 |          6 |         10 |          2 |         18 |
| images                                                                                                       |          5 |          5 |          0 |          0 |          5 |
| js                                                                                                           |          4 |        281 |         31 |         86 |        398 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\php course\xammp\htdocs\ihub\404.html                                                                     | HTML       |         38 |          0 |         12 |         50 |
| d:\php course\xammp\htdocs\ihub\500.html                                                                     | HTML       |         37 |          0 |         13 |         50 |
| d:\php course\xammp\htdocs\ihub\503.html                                                                     | HTML       |         24 |          0 |          2 |         26 |
| d:\php course\xammp\htdocs\ihub\about-us.php                                                                 | PHP        |        230 |          0 |         27 |        257 |
| d:\php course\xammp\htdocs\ihub\admin\Program_delete.php                                                     | PHP        |         13 |          4 |          9 |         26 |
| d:\php course\xammp\htdocs\ihub\admin\about-us.php                                                           | PHP        |        236 |          0 |         65 |        301 |
| d:\php course\xammp\htdocs\ihub\admin\about_image_update.php                                                 | PHP        |         39 |          6 |         19 |         64 |
| d:\php course\xammp\htdocs\ihub\admin\about_img.php                                                          | PHP        |        171 |         22 |         41 |        234 |
| d:\php course\xammp\htdocs\ihub\admin\account.php                                                            | PHP        |        172 |         22 |         45 |        239 |
| d:\php course\xammp\htdocs\ihub\admin\account_s.php                                                          | PHP        |         37 |          5 |         27 |         69 |
| d:\php course\xammp\htdocs\ihub\admin\active_comment.php                                                     | PHP        |        238 |         24 |         63 |        325 |
| d:\php course\xammp\htdocs\ihub\admin\assets\css\animate.css                                                 | CSS        |          2 |          3 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\css\bootstrap-datetimepicker.min.css                            | CSS        |          1 |          4 |          0 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\css\bootstrap.min.css                                           | CSS        |          2 |          5 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\css\dataTables.bootstrap4.min.css                               | CSS        |          1 |          0 |          1 |          2 |
| d:\php course\xammp\htdocs\ihub\admin\assets\css\style.css                                                   | CSS        |         38 |          1 |         10 |         49 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\calendar.svg                                          | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\calendars.svg                                         | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\cash.svg                                              | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\close-circle.svg                                      | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\close-circle1.svg                                     | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\closes.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\coment.svg                                            | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dash1.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dash2.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dash3.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dash4.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dashboard.svg                                         | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\datepicker.svg                                        | XML        |          6 |          0 |          1 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\debitcard.svg                                         | XML        |          6 |          0 |          1 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\delete-2.svg                                          | XML        |          7 |          0 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\delete.svg                                            | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\delete1.svg                                           | XML        |          7 |          0 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dollar-square.svg                                     | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dollar.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\download.svg                                          | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\dropdown.svg                                          | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\edit-5.svg                                            | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\edit-6.svg                                            | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\edit-set.svg                                          | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\edit.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\ellipise1.svg                                         | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\excel.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\expense1.svg                                          | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\eye.svg                                               | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\eye1.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\filter.svg                                            | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\house.svg                                             | XML        |          4 |          0 |          0 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\image.svg                                             | XML        |          2 |          0 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\log-out.svg                                           | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\macbook.svg                                           | XML        |          9 |          0 |          1 |         10 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\mail.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\minus.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\notification-bing.svg                                 | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\pause1.svg                                            | XML        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\pdf.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\places.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\plus-circle.svg                                       | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\plus.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\plus1.svg                                             | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\printer.svg                                           | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\product.svg                                           | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\purchase1.svg                                         | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\quotation1.svg                                        | XML        |          6 |          0 |          1 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\return1.svg                                           | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\reverse.svg                                           | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\sales1.svg                                            | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scan.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scanner.svg                                           | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scanner1.svg                                          | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scanners.svg                                          | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\search-white.svg                                      | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\search-whites.svg                                     | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\search.svg                                            | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\settings.svg                                          | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\time.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\transcation.svg                                       | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\transfer1.svg                                         | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\trash12.svg                                           | XML        |          7 |          0 |          1 |          8 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\upload.svg                                            | XML        |          4 |          0 |          1 |          5 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\users.svg                                             | XML        |          5 |          1 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\users1.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\wallet1.svg                                           | XML        |          5 |          0 |          1 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\bootstrap-datetimepicker.min.js                              | JavaScript |          2 |          0 |          0 |          2 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\bootstrap.bundle.min.js                                      | JavaScript |          1 |          6 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\dataTables.bootstrap4.min.js                                 | JavaScript |         10 |          4 |          1 |         15 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\feather.min.js                                               | JavaScript |          2 |         11 |          0 |         13 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery-3.6.0.min.js                                          | JavaScript |          1 |          1 |          1 |          3 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery-ui.min.js                                             | JavaScript |          8 |          4 |          1 |         13 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery.dataTables.min.js                                     | JavaScript |        568 |         14 |          1 |        583 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery.slimscroll.min.js                                     | JavaScript |          9 |          7 |          0 |         16 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\moment.min.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\js\script.js                                                    | JavaScript |        128 |         25 |         11 |        164 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\alertify\alertify.min.css                               | CSS        |          1 |          5 |          0 |          6 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\alertify\alertify.min.js                                | JavaScript |          2 |          1 |          0 |          3 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\alertify\custom-alertify.min.js                         | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\apexchart\apexcharts.min.js                             | JavaScript |          3 |         11 |          1 |         15 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\apexchart\chart-data.js                                 | JavaScript |         21 |          0 |          0 |         21 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\chartjs\chart-data.js                                   | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\chartjs\chart.min.js                                    | JavaScript |          2 |         11 |          1 |         14 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\clipboard\clipboard.min.js                              | JavaScript |          1 |          6 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\countup\jquery.counterup.min.js                         | JavaScript |          1 |          7 |          0 |          8 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\countup\jquery.missofis-countdown.js                    | JavaScript |         16 |          8 |          0 |         24 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\countup\jquery.waypoints.min.js                         | JavaScript |          1 |          6 |          0 |          7 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\dragula\css\dragula.min.css                             | CSS        |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\dragula\js\drag-drop.min.js                             | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\dragula\js\dragula.min.js                               | JavaScript |          1 |          0 |          0 |          1 |
| d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fileupload\fileupload.min.js                            | JavaScript |          1 |          0 |          1 |          2 |
